No.	TATANA	B. MELAYU / B. INDO	ENGLISH	KATA DASAR (TATANA)? - \r
1	Pamagunan	Dunia	World	
2	Tana'	Bumi	Earth	
3	Kointutunan do pamagunan	Ciri bumi	Geographical features	
4	Barang	Bahan mentah	Materials	
5	Timug	Air	Water	
6	Kawanan	Langit	Sky	
7	Kointutunan do kawanan	Cuaca	Weather	
8	Waktu'	Waktu	Time	
9	Susumundu	Tumbuh-tumbuhan	Flora	
10	Kosomuaan	Umum	General	
11	Katataunan	Pohon-pohonan	Trees	
12	Bua-buaan	Buah-buahan	Fruits	
13	Kinotuan	Sayur-sayuran	Vegetables	
14	Bunga'	Bunga-bunga	Flowers	
15	Susumundu monini'	Tanaman kecil	Smaller plants	
16	Kasila'	Umbi-umbian	Tubers	
17	Lulu-luluan	Binatang	Animals	
18	Kosomuaan	Umum	General	
19	Sisiog	Burung	Birds	
20	Kana'	Ikan	Fish	
21	Lulu manungkamang	Binatang reptilia	Reptiles	
22	Lulu mapatiti (Maganak)	Binatang menyusui	Mammals	
23	Bubuong	Serangga	Insects	
24	Inan	Tubuh	Body	
25	Langadan inan	Susunan tubuh secara umum	General body system	
26	Ulu	Kepala	Head	
27	Inan	Tubuh manusia	Trunk	
28	Dinanas inan	Anggota tubuh	Limbs	
29	Kalimanan	Pancaindera	Senses	
30	Rasa'	Kesihatan	Health	
31	Kopoposio'	Kehidupan, kelahiran	Life, birth	
32	Kasikapan	Sikap, perbuatan	Postures, actions	
33	Ula	Berbaring, berdiri, duduk	Lying, standing, sitting	
34	Modop, tumudau	Tidur, bangun	Sleep, awake	
35	Bakaraja', mundorong	Bekerja, beristirahat	Working, resting	
36	Minsud, mugad	Bepergian	Going	
37	Angayan	Arah gerakan	Directional motions	
38	Mongibit	Bawa	Carry	
39	Momobog	Pukul, potong, rosak, pecah	Hit, cut, break	
40	Surung, kodong, bobor, banta'	Tolak, tarik, buang, taruh	Push, pull, throw, put	
41	Mamagakut, monutub	Ikat, tutup	Tie, cover	
42	Manaak, magalap	Beri, ambil	Give, take	
43	Mamagasa', mompupu	Perasaan, penilaian	Emotions, evaluations	
44	Moonsoi, maraat	Baik, tidak baik; jahat	Good, bad	
45	Banar, sala'	Benar, salah	True, false	
46	Mau', maalap	Mahu, dapat	Want, able	
47	Poingaso, susa' guang	Senang, susah	Happy, sad	
48	Guminawo, bansi'	Cinta, benci	Love, hate	
49	Kalaa'	Ketakutan	Fear	
50	Kaparuan	Kerajinan	Industriousness	
51	Kadariwaan nu guang	Kerendahan hati	Humility	
52	Kopitorubungan	Komunikasi	Communication	
53	Boros, gia'	Cakap	Speaking	
54	Monulis	Menulis	Writing	
55	Upis nu surat	Pejabat pos	Post office	
56	Sinikulan	Pendidikan	Education	
57	Kopongongkutan	Pengangkutan	Transportation	
58	Pogiuman	Mata pencarian	Livelihood	
59	Pomuntanaman	Pertanian	Farming	
60	Pamarakapan do kana'	Penangkapan ikan	Fishing	
61	Panyambangan	Perburuan	Hunting	
62	Poninggaman	Peternakan	Livestock raising	
63	Pakakas	Alat-alat	Tools	
64	Manambir, mamatu	Menjahit, menganyam	Sewing, weaving	
65	Katataunan	Perkayuan	Carpentry	
66	Pakakaraja'	Buruh	Hired labor	
67	Pangasuhan	Pengubatan	Medicine	
68	Koimangan bokon	Pekerjaan lain	Other occupations	
69	Akanon	Makanan	Food	
70	Koposodiaan - kanon	Persiapan - nasi	Preparation - rice	
