\lx,\ps,\gm,\ge,\cf,\rt,\sy,\sy,\z_manual_check
tana',n,tanah,"earth, soil",,,,,
ogod,n,"debu, habuk",dust,,,,,
abu,n,abu,ashes,,,,,
sakatul tana',n,segumpal tanah,clod,katul,,,,
losok,n,lumpur,mud,,,,,
tana' pilit,n,tanah liat,clay,,,,,
agis,n,pasir,sand,,,,,
tana' kibatu,n,tanah berbatu-batu,gravelly soil,,,,,
pomogunan,n,dunia,earth,pagun,,,,
batu bolinsou-linsou,n,kerikil,gravel,linsou,,,,
batu,n,batu,stone,,,,,
batu karang,n,batu karang,coral,,,,,
komotidangan,n,pegunungan,highlands,motidong,,,,
pegunungan,n,darat,interior,,,,,
gana',n,dataran rendah,lowlands,,,,,
isan daat,n,daerah pesisir,coastal region,,,,,
tana' marantai,n,tanah datar,plains,,,,,
tana' pointamui do kuala,n,delta,delta,,,,,
bawang,n,sungai,river,,,,,
lupok,n,danau,lake,,,,,
lautan,n,laut,sea,laut,,,,
lautan dalom,n,"samudera, lautan",ocean,,,,,
pulou,n,pulau,island,,,,,
tamui,n,semenanjung,peninsula,,,pointamui,,
pointamui,n,semenanjung,peninsula,,,tamui,,
koogisan,n,padang pasir,desert,agis,,,,
suok,n,lembah,valley,,,,,
motidong sawat,n,gunung,mountain,,,,,
motidong doriwo',n,bukit,hill,,,,,
tabing,n,"tebing, tubir",cliff,,,,,
olot,n,celah,crevice,,,,,
tiniris,n,lereng,slope,,,,,
ruak batu,n,gua,cave,,,,,
lungkabui,n,rawa,swamp,,,,,
tamui,n,tanjung,cape,,,,,
luok,n,teluk,bay,,,,,
buruok,n,gunung berapi lumpur,mud-volcano,,,,,
basi',n,besi,iron,,,,,
tambaga',n,tembaga merah,copper,,,,,
pirok,n,perak,silver,,,,,
amas,n,emas,gold,,,,,
aluminium,n,aluminium,aluminum,,,,,
andurai,n,timah hitam,lead,,,,,
nikel,n,nikal,nickel,,,,,
sing,n,zink,zinc,,,jing,,
jing,n,zink,zinc,,,sing,,
platina,n,platina,platinum,,,,,
tambaga',n,kuningan,brass,,,,,
balirang,n,belerang,sulphur,,,,,
batu,n,batu,stone,,,,,
agis,n,pasir,sand,,,,,
batu bolinsou-linsou,n,kerikil,gravel,,,,,
batu kodou,n,batu granit,granite,,,,,
batu puang,n,"batu pualam, marmar",marble,,,,,
basi-basian,n,logam,metal,,,,,
basi' barani',n,besi berani,magnet,,,,,
batu rogo,n,batu permata,precious stone,,,,,
batu bata,n,batu bata,brick,,,,,
simin,n,simen,cement,,,,,
apug,n,kapur,lime,,,,,
tataun,n,kayu,wood,,,,,
saat,n,cat,paint,,,,,
umau,n,minyak,oil,,,,,
umau palamog,n,minyak pelincir,lubricating oil,,,,,
umau tana,n,minyak tanah,kerosene,,,,,
binjin,n,bensin,"gasoline, petrol",,,,,
polopou,n,arang,charcoal,,,,,
konoon kapas,n,kain kapas,cotton cloth,,,,,
bulu kambing biri-biri,n,bulu biri-biri,wool,,,,,
sutara,n,sutera,silk,,,,,
nilon,n,nailon,nylon,,,,,
konoon,n,berbagai kain,all kinds of cloth,,,,,
pakaian,n,kain baju,clothes,,,,,
timug,n,air,water,,,,,
mato timug,n,mata air,spring,,,rasayan,,
rasayan,n,mata air,spring,,,mato timug,,
bawang monini',n,sungai kecil,"creek, stream",,,,,
bawang,n,sungai,river,,,,,
anak bawang,n,anak sungai,tributary,,,,,
simpangan bawang,n,cabang sungai,fork of a river,,,,,
papas,n,"saluran, parit, taliair","canal, irrigating ditch",,,,,
lingkuong,n,lubuk,deep place in river,,,,,
timug tumuru',n,air terjun,waterfall,,,,,
rumuab,n,air pasang,high tide,,,,,
umasak,n,air surut,low tide,asak,,,,
asak,n,surut,low tide,,,,,
lunas bawang,n,induk sungai,main river,,,,,
isan daat,n,tepi laut,shore,,,,,
isan bawang,n,tepi sungai,bank,,,,,
mampalakun,n,gelombang,big wave,lakun,,,,
lakun,n,ombak,wave,,,,,
riak,n,riak,"small wave, ripple",,,,,
lupok,n,danau,lake,,,,,
kulam,n,kolam,pond,,,,,
lungkabui,n,rawa,"marsh, swamp",,,,,
torobong,n,"perigi, sumur",well,,,,,
lolobuon,n,lopak,puddle,,,,,
lolobuon,n,kubangan,"mud-hole, buffalo wallow",,,,,
tadu,n,tenang,calm,,,,,
mosolog,n,deras,fast flowing,,,,,
arus,n,arus,current,,,,,
lumulun,,mengalir,to flow,lulun,,,,
lumabai,,meluap,to overflow,labai,,,,
sumonod,,mengendap,to settle,sonod,,,,
sinonop,n,endapan,sediment,sonod,,,,
tumolop,,menyelam,"to submerge, to dive",tolop,,,,
nolosod,n,tenggelam,drowned,losod,,,,
puun rasayan,n,sumber mineral,mineral spring,,,,,
rasayan malasu,n,sumber air panas,hot spring,,,,,
inukadan,n,mineral,mineral,,,,,
liud,,banjir,to flood,,,,,
lumabui,,mengapung,to float,labui,,,,
sumadui,,berenang,to swim,sadui,,,,
timug monior,n,air bersih,clear water,,,,,
timug molobou,n,air kotor,muddy water,,,,,
maribau,,dangkal,shallow,ribau,,,,
tumias,,memercik,"to splash, to splatter",tias,,,,
maasa',,basah,wet,asa',,,,
makala',,kering,dry,kala',,,,
malamog,,licin,to be slippery,lamog,,,,
lumandai,,meluncur,to slide,landai,,,,
notombol,n,macet,blocked up,tombol,,nosonsong,,
nosonsong,n,macet,blocked up,sonsong,,notombol,,
kawanan,n,langit,sky,,,,,
tatai' ribut,n,"mega, awan putih",white cloud,,,,,
ribut,n,mendung,cloudy,,,,,
matuong,,gelap,dark,tuong,,motuong,,
motuong,,gelap,dark,tuong,,matuong,,
malangga',n,cerah,"bright, clear",langga,,,,
morondom',,gelap,dark,rondom,,,,
rondom kinatok,n,gelap-gulita,pitch dark,,,,,
mato odou kigarou,,matahari bersinar,to be sunny,,,,,
manyampui,,bertiup,to blow,sampui,,,,
masarui ambus ribut(?),n,angin sepoi-sepoi,cool breeze,,,,,CHECK_LX
ribut,,,,,,,,
kilinuub,n,tempat yang teduh,shade,,,,,
maluub,n,teduh,shady,,,,,
mato odou,n,matahari,sun,,,,,
odou sumilau,n,matahari terbit,sunrise,,,,,
odou tumonob,n,matahari turun/terbenam,sunset,,,,,
bulan,n,bulan,moon,,,,,
bintang,n,bintang,star,,,,,
tinting baliung,n,pusaran angin,whirlwind,,,,,
tinuong,n,awan,raincloud,,,,,
dasam,n,hujan,rain,,,,,
matuong,n,awan hitam,dark cloud,,,,,
boluntung,n,pelangi,rainbow,,,,,
planit,n,planit,planet,,,,,
ambun,n,kabut,"mist, fog",,,,,
mato odou tolonon,n,gerhana matahari,solar eclipse,tolon,,,,
bulan tolonon,n,gerhana bulan,lunar eclipse,tolon,,,,
bulan tawang,n,bulan purnama,full moon,,,,,
katang,n,bulan sabit,crescent moon,,,,,
bulan tonob,n,bulan gelap,dark of the moon (new moon?),,,,,
bulan kipayung,n,lingkaran cahaya bulan,lunar halo,,,,,
rimbutuon,n,gugusan bintang,constellation (stars),,,,,
pupuruh,n,,group of 7 stars (Great Bear ?) - Ursa Major (?),,,,,
rimbutuon balatik,n,,arrow stars (name:?),,,,,
